Name;City;Region;Previous edition;Previous date;Previous year;Current status;Expected date;Expected year;Postponed;Cancelled editions;Website;Social media;Online
Yukicon;Opole;opolskie;VIII;11.01 – 12.01;2020;Not announced;none;none;–;–;https://yukicon.mangowcy.pl/;–;No
Aishiteru;Wrocław;dolnośląskie;2020;8.02 – 9.02;2020;Not announced;none;none;–;–;https://aishiteru.pl/;–;No
Fantasmagoria;Gniezno;wielkopolskie;11;7.02 – 9.02;2020;Not announced;none;none;–;–;https://fantasmagoria.gniezno.pl/;–;Yes
Gakkon;Łódź;łódzkie;6 Edycja Świąteczna;6.12 – 8.12;2019;Not announced;none;none;–;–;https://gakkon.org/;https://www.facebook.com/konwentgakkon/;No
Rumia Comic Con;Rumia;pomorskie;3;7.03;2020;Announced;11.09;2021;Yes (2021: 13.03 → 11.09);–;https://www.facebook.com/RumiaComicCon/;https://www.facebook.com/events/451594169283145/;No
Namicon;Wrocław;dolnośląskie;La Révolution par Namicon;13.07–14.07;2019;Announced;Autumn;2020;Yes (Namifonia: 25.04.2020 – 26.04.2020 → Autumn 2020);–;http://namicon.pl/;https://www.facebook.com/namicon.nami;No
Aicon;Rybnik;śląskie;2019;16.03–17.03;2019;Canceled;14.03 – 15.03;2020;–;2020;https://aicon.com.pl/;https://www.facebook.com/events/521058525145223;Yes
GDAK;Gdańsk;pomorskie;2019;6.06 – 8.08;2019;Canceled;4.06 – 6.06;2020;–;2020;http://wbpg.org.pl/wydarzenia;https://www.facebook.com/Gda%C5%84skie-Spotkania-Komiksowe-GDAK-Gda%C5%84sk-Comic-Book-Meetings-GDAK-919487211431356/;No
Śląskie Dni Fantastyki;Chorzów;śląskie;2019;23.03 – 24.03;2019;Canceled;26.09 – 27.09;2020;Yes (2020: 21.03 – 22.03 → 26.09 – 27.09 → cancelled);2020;https://www.sdf.org.pl/;–;No
Krakowski Festiwal Komiksu;Kraków;małopolskie;8;30.03 – 31.03;2019;Canceled;3.04 – 5.04;2020;–;2020;https://komiks.org.pl/;–;Yes
Dzień Kultury Japońskiej i Festiwalu Kultur Azjatyckich;Łódź;łódzkie;8 EDYCJA;13.04;2019;Canceled;4.04;2020;–;2020;https://www.facebook.com/japonskiw2lo/;–;No
Gorcon;Gorzów Wielkopolski;lubuskie;2019;13.04 – 14.04;2019;Canceled;28.03 – 29.03;2020;Yes (2020: 28.03 – 29.03 → October → cancelled);2020;https://www.facebook.com/FantastaGW/;–;No
Pyrkon;Poznań;wielkopolskie;2019 (XIX);26.04 – 28.04;2019;Announced;17.06 – 19.06;2022;Yes (2020: 8.05 – 10.05 → 10.07 – 12.07 → cancelled, 2021: 14.05 – 16.05 → 2.07 – 4.07 → cancelled);2020, 2021;https://pyrkon.pl/;–;Yes
Festiwal Studiów Azjatyckich;Kraków;małopolskie;VI (VII online);10.05 – 12.05;2019;Not announced;none;none;–;2020/VII;https://www.facebook.com/fsa.uj/;–;Yes
Sakurakon;Opole;opolskie;VII;18.05 – 19.05;2019;Canceled;29.05 – 30.05;2021;Yes (VIII: 30.05.2020 – 31.05.2020 → 29.05.2021 – 30.05.2021 → cancelled);VIII;https://www.facebook.com/omaopole/;–;Yes
Festiwal Kultury Japońskiej Ichigo Matsuri;Katowice;śląskie;VII;15.06;2019;Not announced;none;none;–;–;https://www.facebook.com/centrumichigo/;–;No
Magnificon Expo;Kraków;małopolskie;2019;21.06 – 23.06;2019;Announced;17.12 – 19.12;2021;Yes (2020: 21.08.2020 – 23.08.2020 → 11.12.2020 – 13.12.2020 → 2.07.2021 – 4.07.2021 → 17.12.2021 – 19.12.2021);–;https://magnificon.conrego.com/;–;No
Dni Fantastyki;Wrocław;dolnośląskie;2019;5.07 – 7.07;2019;Announced;20.08 – 22.08;2021;–;2020;https://www.facebook.com/DniFantastyki;https://www.facebook.com/events/574150646891762/;Yes
Weekend z Japonią „Ikigai”;Rzeszów;podkarpackie;2019;6.07 – 8.07;2019;Not announced;none;none;–;–;https://ikigai.mst.blue/;https://www.facebook.com/IkigaiRzeszow;No
Mochicon;Rybnik;śląskie;2019;13.07 – 14.07;2019;Not announced;none;none;–;–;http://mochicon.pl/;–;No
Krzyżakon;Malbork;pomorskie;2019;13.07 – 14.07;2019;Not announced;none;none;–;–;https://krzyzakon.pl/;–;No
Nyskon;Nysa;opolskie;2019;19.07 – 21.07;2019;Announced;13.08 – 15.08;2021;–;2020;http://nyskon.pl/;https://www.facebook.com/events/1375432972637544/;No
Watcon;Zielona Góra;lubuskie;7;19.07 – 21.07;2019;Not announced;none;none;–;–;http://watcon.info/;–;No
SkierCon;Skierniewice;łódzkie;2019;26.07 – 28.08;2019;Not announced;none;none;–;2020;https://www.skiercon.pl/;–;Yes
Polcon;wiele;wiele;2019 (Białystok);8.08 – 11.08;2019;Not announced;none;none;–;–;https://polcon.pl/;–;No
MiNiuCon;Wrocław;dolnośląskie;2019;9.08 – 11.08;2019;Not announced;none;none;–;–;http://mi.niucon.pl/;https://www.facebook.com/KonwentNiuCon/;No
Ogólnopolski Festiwal Sabat Fiction-Fest;Kielce;świętokrzyskie;2019;16.08 – 18.08;2019;Canceled;21.08 – 23.08;2020;–;2020;https://sabatfiction-fest.pl/;https://www.facebook.com/SabatFictionFest/;Yes
ConFiction;Kraków;małopolskie;2019;16.08 – 18.08;2019;Not announced;none;none;–;–;https://confiction.pl/;https://www.facebook.com/ConfictionFestival;No
Imagikon;Legnica;dolnośląskie;2019;16.08 – 18.08;2019;Defunct;–;–;–;–;–;–;Yes
Medalikon;Częstochowa;śląskie;VI;23.08 – 25.08;2019;Not announced;none;none;–;–;www.medalikon.czest.pl;https://www.facebook.com/medalikon.slc/;No
Asucon;Chorzów;śląskie;XX-lecie;23.08 – 25.08;2019;Not announced;none;none;–;–;https://www.asucon.pl/;https://www.facebook.com/asuconSKF/;No
Hikari;Poznań;wielkopolskie;Another Story 2020;26.09;2020;Not announced;none;none;–;–;https://hikari-fest.pl/;https://www.facebook.com/ConTrust-655144944926118/;Yes
Twierdza;Giżycko;warmińsko-mazurskie;2019;6.09 – 8.09;2019;Announced;3.09 – 5.09;2021;–;2020;http://festiwaltwierdza.pl/;https://www.facebook.com/events/2426927174291196/;No
Kapitularz;Łódź;łódzkie;2019;6.09 – 8.09;2019;Canceled;4.09 – 6.09;2020;–;2020, 2021;https://kapitularz.pl;https://www.facebook.com/Kapitularz;Yes
Pilkon;Piła;wielkopolskie;2019;6.09 – 8.09;2019;Canceled;11.09 – 13.09;2020;Yes (2020: 19.06 – 21.06 → 11.09 – 13.09 → cancelled);2020;https://pilkon.pl/;https://www.facebook.com/Pilkon.konwent/;Yes
Copernicon;Toruń;kujawsko-pomorskie;2019;13.09 – 15.09;2019;Canceled;18.09 – 20.09;2020;–;2020;https://copernicon.pl/;https://www.facebook.com/copernicon.torun/;No
Chojnice Fantasy Days;Chojnice;pomorskie;II;21.09 – 22.09;2019;Not announced;none;none;–;–;https://www.facebook.com/Chojnice-Fantasy-Days-718181455181043/;–;No
Filozofikon;Kraków;małopolskie;3.0+1.0 PhilosophyCon;14.09 – 15.09;2019;Not announced;none;none;–;–;https://philosophycon.wixsite.com/philosophycon;https://www.facebook.com/philosophycon;Yes
Międzynarodowy Festiwal Komiksu i Gier;Łódź;łódzkie;30;27.09 – 29.09;2019;Announced;2.10 – 3.10;2021;–;31;https://komiksfestiwal.com/;–;Yes
Ogólnopolski Festiwal Miłośników Fantastyki - Bachanalia Fantastyczne;Zielona Góra;lubuskie;33 1/3;17.10;2020;Not announced;none;none;Yes (2020: 16.10 – 18.10 → 17.10);–;http://bachanalia.zgora.pl/;https://www.facebook.com/BachanaliaFantastyczne/;Yes
Podlaski Festiwal Anime;Kleosin;podlaskie;2019;28.09 – 29.09;2019;Not announced;none;none;–;–;https://www.facebook.com/podlaskifestiwalanime/;–;No
HollowCon;Kraków;małopolskie;HollowCon;12.10;2019;Not announced;none;none;–;–;https://www.facebook.com/ShinigamiNysa/;–;No
Bykon;Bydgoszcz;kujawsko-pomorskie;2019;19.10 – 20.10;2019;Announced;June;2021;–;2020;https://www.bykon.pl/;https://www.facebook.com/Bykonkonwent/;No
AnimeCon Halloween;Poznań;wielkopolskie;2019;26.10 – 27.10;2019;Not announced;none;none;–;–;https://animecon.pl/;https://www.facebook.com/AnimeCon-239354246711199;No
Falkon;Lublin;lubelskie;2019;8.11 – 10.11;2019;Announced;5.11 – 7.11;2021;–;2020;http://falkon.co/;https://www.facebook.com/festiwal.falkon;No
Opolcon;Opole;opolskie;2019;15.11 – 17.11;2019;Canceled;13.11 – 15.11;2020;–;2020;http://opolcon.pl/;https://www.facebook.com/Opolcon/;No
Elgacon;Płock;mazowieckie;XV;16.11 – 17.11;2019;Not announced;none;none;–;–;http://elgacon.pl/;https://www.facebook.com/elgacon/;No
Animatsuri;Warszawa;mazowieckie;2019;19.07 – 21.07;2019;Announced;13.08 – 15.08;2021;Yes (2020: 16.07 – 18.07 → 13.08 – 15.08);2020;https://festiwal.animatsuri.pl/;–;No
Ikicon;Rzeszów;podkarpackie;2019;16.11 – 17.11;2019;Not announced;none;none;–;–;https://ikigai.mst.blue/;https://www.facebook.com/IkigaiRzeszow/;No
Tsuru Japan Festival;Rybnik;śląskie;2019;23.11 – 24.11;2019;Not announced;none;none;–;–;https://tsuru.com.pl;https://www.facebook.com/tsuruclub/;Yes
Pasja MiniCon;Gdynia;pomorskie;2019;29.11 – 30.11;2019;Not announced;none;none;–;–;https://pasjaminicon.pl/;–;Yes
Time;Wrocław;dolnośląskie;X-Mas Time;30.11 – 1.12;2019;Not announced;none;none;–;–;http://time.popcooltura.pl/;https://www.facebook.com/KonwentTime/;No
Remcon;Gdynia;pomorskie;2019;13.12 – 15.12;2019;Not announced;none;none;–;–;https://remcon.pl/;–;No
